ID,Abstraction,Prompt,Story
22,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""買い物""
Characters: のぞみ, さやか

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",のぞみとさやかは、ショッピングモールに行きました。のぞみは服を見ていて、さやかは靴を探していました。「このトレーナー、かわいいね！」と、のぞみが言いました。「本当だ、買ってみよう！」とさやかが答えました。二人は楽しんで、たくさんの買い物をしました。
22,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 木曜日、鍵、始める、経済

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜てみる
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","木曜日の朝、海斗は古い本を見つけました。本の中には鍵の絵が描いてありました。海斗はその鍵が何かを知りたいと思いました。「これを使ってみると、何か新しいことが始められるかもしれない」と思ったからです。

彼は町の図書館に行き、経済に関する本を探しました。そこには、多くの人々が働いている様子が描かれていました。それを見て、海斗は自分も何か始めたいと感じました。

本を読みながら、海斗は、自分の未来について考えました。「この鍵が本当に役に立つなら、何か新しいことを学ばなければ」と決心しました。彼は新しい日々を始めるために、勇気を出して一歩を踏み出しました。鍵の秘密はまだわかりませんが、彼の冒険はこれから始まるのです。"
22,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ200文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。",ある日、男の子は公園で遊びました。彼は友達とサッカーをしました。ボールが高く飛んで、木の上に止まりました。男の子はあきらめずに木に登り始めました。友達は「がんばれ！」と応援しました。男の子はゆっくりと上がり、ついにボールを取りました。彼はとても嬉しかったです。木から降りて、友達と一緒にボールで遊びました。夕方になり、男の子は家に帰るとき、「また明日遊ぼう」と言いました。友達も「うん、またね！」と答えました。楽しい一日でした。
23,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: さとし, ともや
テーマ: 「旅行」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","さとしとともやは、夏休みに旅行に行くことにしました。二人は、富士山を見たいと思いました。朝、早く家を出ました。電車に乗って、旅が始まりました。

「富士山、楽しみだね！」とさとしが言いました。「うん、すごく大きいかな？」とともやも excited です。電車は約二時間で到着しました。

外に出ると、青い空と緑の山が見えました。二人は、さっそく富士山を目指しました。途中で、きれいな川を見つけました。「泳ぎたい！」とともやが言いました。さとしは、「じゃあ、少しだけ泳ごう」と答えました。

川で遊んだ後、富士山の近くの村に行きました。村には美味しい食べ物がありました。特に、地元のうどんが大好きでした。

夕方、富士山が夕日で赤くなりました。「きれいだね！」と二人は感動しました。この旅行は、特別な思い出になりました。帰りの電車で、二人は笑って話しました。「来年も旅行に行こうね！」とさとしが言いました。「う"
23,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""旅行""
Characters: さとし, ともや

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",さとしとともやは、休みの日に旅行に行きました。二人は山に登ることにしました。山の上にはきれいな景色がありました。さとしは写真を撮り、ともやはお弁当を食べました。楽しい時間を過ごし、二人は笑顔で帰りました。また行きたいね！
23,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 一緒に、海、手紙、模倣

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜たところ
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある日、海の近くに住む友達、太郎と花は、一緒に遊びに行きました。海は青く、波の音が心を和らげます。花は、浜辺で手紙を書き始めました。その手紙は、太郎の大好きな海の生き物についてでした。

太郎は、花が楽しそうに書く姿を見て、ふと思いつきました。「僕も手紙を作ってみよう！」と思い、海の貝殻を模倣して、色々な形を作ってみます。

二人は、作ったものを見せ合いながら笑い合いました。海の風が心地よく、時間があっという間に過ぎました。遊び終わった後、花が手紙を読んでくれたところ、太郎はとても嬉しくなりました。二人の友情は、海のように広がっていくのでした。"
23,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ300文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","昔々、ある小さな村に、元気な女の子がいました。彼女の名前はさくらです。さくらは毎日、森で遊ぶのが大好きでした。ある日、さくらは森で不思議な光を見つけました。光の方に行くと、小さな妖精がいました。妖精は「こんにちは、さくらさん。私はこの森の守り神です。あなたに特別なことを教えたい」と言いました。

さくらはとてもうれしくなり、「何を教えてくれるの？」と聞きました。妖精は「森を大切にすることが大事です。木を切らないで、ゴミを捨てないでください」と言いました。さくらは「わかりました。私が森を守ります！」と約束しました。

それから、さくらは村に帰り、友達に森の話をしました。みんなで森をチュモリを集めたり、木を植えたりしました。村の人たちは森を大切にし、妖精も喜びました。さくらのおかげで、村と森はもっと美しくなりました。さくらはそのことがとても嬉しかったです。森は永遠に彼女の友達でした。"
24,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: はるき, まい
テーマ: 「友情」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","はるきとは、同じクラスの友達です。まいも同じクラスですが、二人はあまり話しませんでした。ある日、学校の運動会がありました。はるきはリレーの選手に選ばれました。まいは応援団です。

運動会の日、はるきは緊張していました。走る前に、まいが近づいてきました。「がんばってね！」とまいが言いました。はるきは少し安心しました。「ありがとう、まい！」と言って、走り始めました。

レースが始まると、はるきは速く走りました。まいは応援の声を大きくしました。「はるき、がんばれ！」その声を聞いて、はるきはもっと速く走りました。

最後には、はるきは1位になりました。終わった後、まいが駆け寄りました。「すごいよ、はるき！」と笑顔で言いました。はるきも笑いました。「まいのおかげだよ。」

その日から、はるきとまいは友達になりました。二人はいつも一緒に遊びました。そして、友情がもっと深まりました。"
24,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""友情""
Characters: はるき, まい

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",はるきとまいは友達だった。ある日、まいは学校に行くのが怖かった。はるきは「大丈夫、僕が一緒に行くよ」と言った。二人は学校へ行き、楽しい時間を過ごした。クラスで問題があった時も、はるきはまいを助けた。友情はいつも大切だと思った。
24,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 怖い、帽子、昼ごはん、文化

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ておく
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある日、太郎は昼ごはんを食べるために公園に行きました。彼は赤い帽子をかぶっていました。公園ではたくさんの子供たちが遊んでいましたが、太郎は少し怖い気持ちになりました。公園の奥にある古い建物が、いつも暗く見えたからです。

太郎は「文化の違いについてもっと知りたい」と思い、その建物に近づきました。中では、昔の道具や絵が展示されていました。太郎は興味を持ち、いくつかの展示を見て回りました。その時、ゆっくりと音が聞こえました。「何かいるのかな？」と心配になり、急いで公園の外へ行きました。

でも、ふと思いました。「この怖さは、文化を学ぶための一歩かもしれない」と。太郎は勇気を出して、明日もまた来ることに決め、帽子をしっかりかぶり直しました。こうして、彼の冒険が始まったのです。"
24,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ225文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、小さな村に住む少年がいました。彼の名前は太郎です。太郎は毎日、友達と一緒に遊びますが、特に木の下が好きでした。木には大きなりんごがなっていました。

太郎はりんごを食べたいと思いましたが、高すぎて取れません。友達は手伝ってくれましたが、うまくいきません。太郎はあきらめかけましたが、ふと思いつきました。自分の背を使って、友達に上に乗ってもらうことにしました。友達は木に手を伸ばしました。

すると、ついに友達が大きなりんごを取ることができました。太郎はうれしくて、二人でりんごを分けて食べました。甘くておいしい味がしました。その日、二人はあきらめないことの大切さを学びました。また、仲良く遊ぶことができました。"
25,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ゆり, ひろこ
テーマ: 「友情」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ゆりとひろこは小学校からの友達です。二人はいつも一緒に遊びます。公園でサッカーをしたり、図書館で本を読んだりします。

ある日、ゆりは自転車で転んでしまいました。膝が痛くて、泣いてしまいました。ひろこはすぐにゆりのもとへ駆け寄りました。「大丈夫？」と声をかけます。ひろこはゆりの膝を見て、絆創膏を持ってきました。

「これを貼ろう！」ひろこは優しく言いました。ゆりは少し元気になりました。「ありがとう、ひろこ！」とゆりは笑顔で言います。

そのとき、ひろこも転んでしまいました。「ああ、痛い！」ひろこは叫びました。ゆりはすぐにひろこのところに行きました。「大丈夫、ひろこ？私が手伝うよ！」

二人はお互いに助け合いながら、友情を深めていきました。怪我をしても、二人の心はいつも一緒です。友達の力はとても大きいのです。"
25,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""友情""
Characters: ゆり, ひろこ

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ゆりとひろこは親友でした。毎日、一緒に遊びました。ある日、ひろこが病気になりました。ゆりは心配して、毎日お見舞いに行きました。ひろこは元気になりたいと願いました。ゆりは「一緒に遊ぼう！」と言いました。二人は笑顔で約束しました。友達の力はすごいです。
25,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 昼、悲しい、海、影響

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ことにする
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある日、昼の明るい時間に、少年は海を見に行きました。海は青く、波が優しく打ち寄せていました。しかし、少年の心には悲しい影がありました。友達が引っ越してしまったからです。

少年は、波の音を聞きながら、友達との思い出を思い出しました。「また遊びたいな」と思いましたが、もう会えないことを感じました。でも、少年はあきらめることにしました。新しい友達を作ることにするのです。

その時、海の向こうに美しい夕日が見えました。少年は、その景色が心を明るくすることに気づきました。新しい出発をする勇気が湧いてきました。少年は、前を向いて歩き始めました。海の影響で、少しずつ悲しみが和らいでいきました。"
25,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ250文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","昔々、小さな村に一人の男の子がいました。彼の名前は太郎です。太郎は毎日、村の外で遊びました。ある日、彼は大きな木の下で不思議な虫を見つけました。その虫はとてもきれいで、青い光を放っていました。

太郎はその虫を捕まえて、家に持って帰りました。お母さんは虫を見て驚きました。「これは特別な虫だよ。大切にしなさい。」と母は言いました。太郎は虫を小さな箱に入れて、毎日世話をしました。

数日後、虫は成長し、美しい蝶になりました。太郎はとても喜びました。彼は蝶を空に飛ばしました。その瞬間、蝶は光を放ち、村全体を明るくしました。村の人々はその光を見て、たくさん笑顔になりました。

太郎はこの経験から、自然の美しさと大切さを学びました。それ以来、彼は毎日アウトドアで遊ぶことが好きになりました。村はまた明るく、楽しい場所になりました。太郎の心には、自然を愛する気持ちがいつもありました。"
26,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: えりか, ともこ
テーマ: 「冒険」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","えりかとともこは、友達です。二人はいつも一緒に遊びます。ある日、えりかは「冒険に行こう！」と言いました。ともこは「いいね、どこに行くの？」と聞きました。

二人は近くの山に行くことにしました。山は高くて、木がたくさんあります。道を歩いていると、小さい川を見つけました。えりかは川で水を飲みました。そして、岩の上で遊びました。

そのとき、ふと何かが動きました。二人はびっくりして、後ろを見ました。そこには、小さなウサギがいました。ウサギは二人を見て、すぐに逃げました。えりかは「ウサギを追いかけよう！」と言いました。

二人はウサギを追いかけました。ウサギは速く走ります。山の奥まで行くと、きれいな花が咲いていました。えりかとともこは、「わあ、きれい！」と叫びました。

楽しい冒険が終わり、二人はうれしい気持ちで帰りました。"
26,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""冒険""
Characters: えりか, ともこ

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",えりかとともこは、山に冒険に行きました。二人は、きれいな川を見つけました。「水は冷たいね」とえりかが言いました。「でも、楽しい！」とともこが応えました。二人は水で遊び、きれいな花を見つけました。たくさん写真を撮って、素敵な思い出を作りました。
26,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 不便、時間、たくさん、抽象的

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ことがある
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある日、山の村に住むゆうたは、不便な生活をしていました。村にはたくさんの木と川がありましたが、電気や水道がありませんでした。毎日、時間をかけて水を汲みに行かなくてはなりませんでした。

ゆうたはある日、「この生活を変えたい」と思いました。村の人たちと相談し、発電機を買おうということになりました。しかし、お金が足りませんでした。そこで、みんなで木を切ったり、野菜を売ったりすることに決めました。

一生懸命働いて、数ヶ月後、ようやくお金がたくさん集まりました。ゆうたは電気を手に入れることができました。電気が来て、村の生活は大きく変わりました。それでも、時々昔の生活を思い出し、抽象的な幸せを感じることがありました。村のみんなも笑顔になり、ゆうたはとても幸せでした。"
26,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ300文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","むかしむかし、ある小さな村に太郎という男がいました。太郎は毎日、畑で働きましたが、いつも一人で寂しかったです。ある日、太郎は森を散歩していると、小さな声が聞こえました。「たすけて！」と声がします。太郎はその声を探しに行きました。

すると、大きな木の下に小さな妖精がいました。妖精は木の枝に引っかかっていました。太郎は妖精を助けるために、優しく手を伸ばしました。妖精を無事に救うと、妖精は「ありがとう、太郎さん！私の魔法で、あなたの願いをかなえます。」と言いました。

太郎は考えました。「友達がほしい」と願いました。すると、妖精は手を振り、村にかわいい動物たちを呼びました。ウサギやリスがやってきました。太郎は動物たちと遊び、楽しい日々を過ごしました。

妖精は太郎に言いました。「友達は大事です。これからも大切にしてね。」太郎は笑顔で頷きました。そうして、太郎は村で幸せに暮らしました"
27,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: かずき, ひろこ
テーマ: 「食べ物」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","かずきとひろこは友達です。二人は土曜日に公園へ行きました。公園では、たくさんの人がいました。かずきはお弁当を持ってきました。お弁当には、おにぎりと卵焼きが入っています。ひろこはサンドイッチを持ってきました。

公園のベンチに座って、お弁当を食べ始めました。「おにぎりはおいしい！」かずきが言いました。ひろこもサンドイッチを食べました。「私のサンドイッチもおいしいよ！」とひろこが笑いました。

そのとき、子どもたちが近くで遊んでいました。子どもたちはアイスクリームを食べていました。ひろこは「アイスクリームも食べたいな」と言いました。かずきは「じゃあ、買いに行こう！」と言いました。

二人はアイスクリームを買いました。いろいろな味がありました。かずきはチョコレート味、ひろこはストロベリー味を選びました。ふたりはアイスクリームを食べながら笑いました。美味しい食べ物と楽しい時間で、素敵な一日でした。"
27,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""食べ物""
Characters: かずき, ひろこ

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",かずきとひろこは、公園で弁当を食べることにしました。かずきはおにぎり、ひろこはサンドイッチを持ってきました。二人はおしゃべりをしながら、美味しい食べ物を楽しみました。「このおにぎり、すごくおいしい！」とひろこが言いました。かずきは笑って、「また作るね」と答えました。
27,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 飲み物、金曜日、海、徹底

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜にしては
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","金曜日の午後、友達と海に行くことにした。私たちは飲み物を持って、楽しい時間を過ごすために準備をした。海に着くと、波の音が心地よく響いていた。太陽が輝き、砂浜は暖かかった。私たちは遊びながら、冷たい飲み物を飲むことにした。

そのとき、友達の一人が言った。「この海はとてもきれいだね。」私はその言葉に賛成した。「うん、こんなに美しい海が近くにあるなんて、すごいね。でも、ここは徹底的に守らなきゃいけないよ。」友達はうなずき、海の大切さを話し始めた。

会話を楽しみながら、夕日が海に沈んでいくのを見た。私たちにしては、今日は特別な日だった。海と友達と共に過ごし、素晴らしい思い出ができた。"
27,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ225文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、太郎は公園に行きました。彼は花を見たり、木の下で遊んだりしました。公園では、他の子どもたちも遊んでいました。太郎は友達の健を見つけました。「健、こっちで遊ぼう！」と太郎は言いました。健は笑って、太郎のところに来ました。

二人は一緒にサッカーを始めました。ボールは上手に動き、楽しい時間が流れました。夕日が沈むと、空はきれいなオレンジ色になりました。太郎は「今日、楽しかったね」と言いました。健も「うん、また遊ぼう！」と答えました。

その時、彼らのママが呼びました。「太郎、健、帰る時間だよ！」二人は寂しい気持ちになりながらも、また会う約束をしました。太郎は公園を後にしながら、友達との楽しい思い出を思い出しました。"
28,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: たかし, だいち
テーマ: 「家族」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","たかしとだいちは兄弟です。二人はいつも一緒に遊びます。ある日、たかしは遊び場で友達とサッカーをしていました。でも、だいちは一人で家で絵を描いていました。

たかしは友達と楽しそうに見えましたが、だいちは少し寂しかったです。だから、たかしはサッカーが終わった後、だいちに声をかけました。「だいち、絵を見せて！」だいちは嬉しくなり、絵を見せました。それは大きな木と青い空の絵でした。

「すごい！だいちの絵は本当にきれいだね！」たかしは言いました。だいちは照れながら「ありがとう」と笑いました。

それから、たかしとだいちは一緒に絵を描くことにしました。二人で楽しく絵を描きながら、家族の大切さを感じました。兄弟はいつも一緒にいて、助け合うことが大事だと分かりました。

その日、たかしとだいちの絆はもっと強くなりました。家族は、どんな時も一緒です。"
28,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""家族""
Characters: たかし, だいち

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ある日、たかしとだいちは公園で遊びました。だいちはボールを持っていて、たかしに「キャッチして！」と言いました。たかしはボールを受け取り、大きな声で笑いました。二人は楽しく遊び、最後にお母さんが来てお弁当を食べました。家族はいつも一緒に楽しい時間を過ごします。
28,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 来月、午後、海、統計

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜に違いない
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","来月の午後、友達と海に行くことにした。私たちは、海で遊びながら楽しい時間を過ごす予定だ。青い空と波の音を聞きながら、サンドイッチを食べたり、ビーチボールを使ったりするつもりだ。

友達は統計が好きで、最近の天気について話していた。彼は「この夏は、晴れの日が多いに違いない」と言った。私もそれに賛成した。海での楽しい思い出を作るために、いい天気であることが大事だ。

その日、タオルを持って、私たちは早く家を出た。海の風を感じると、心がわくわくした。友達との約束の日が、待ち遠しかった。"
28,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ300文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、山の中に小さな村がありました。村にはおじいさんとおばあさんが住んでいました。おじいさんは毎日、果物を山で取りに行きます。おばあさんは家でおいしい料理を作ります。

ある朝、おじいさんは山に行きました。すると、きれいな青い鳥が木の上にいました。おじいさんはその鳥を見て、「すごい鳥だな」と思いました。青い鳥はおじいさんに近づいてきて、「こんにちは、おじいさん！」と言いました。

おじいさんはびっくりしました。「鳥が話す！」と言いました。青い鳥は、「私の歌を聞きたいですか？」と聞きました。おじいさんは「はい、聞きたいです！」と答えました。

青い鳥は美しい歌を歌い始めました。その声は村中に響きわたりました。村の人たちも集まりました。みんなは青い鳥の歌を聞いて、とても幸せになりました。

歌が終わった後、青い鳥は「ありがとう。また会いましょう！」と言って飛んで行きました。おじいさんとおばあさんは、その日から毎日青い鳥の歌を思"
29,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ゆり, ゆうき
テーマ: 「夢」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ゆりとゆうきは友達です。ある日、二人は公園で遊びました。ゆりは空を見上げて言いました。「私は大きな飛行機になりたい！」ゆうきは笑って言いました。「それはすごい夢だね！」

ゆりは空を飛ぶ鳥を見て、もっと夢を話しました。「空を飛んで、世界を見たい。」ゆうきは考えました。「僕はサッカー選手になりたい。たくさんの人を笑顔にしたい。」

その夜、二人は星を見上げました。ゆりは言いました。「私たちの夢、叶うかな？」ゆうきは元気に答えました。「もちろん！信じれば、夢は叶うよ。」

次の日、ゆりは飛行機の本を読みました。ゆうきはサッカーボールを練習しました。二人はそれぞれの夢に向かって、少しずつ進みました。夢は大きくても、小さくても、あきらめないことが大事です。ゆりとゆうきは、これからも夢を追いかけることに決めました。"
29,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""夢""
Characters: ゆり, ゆうき

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ある日、ゆりは夢を見ました。大きな花畑で、色とりどりの花が咲いていました。ゆうきがそばにいて、「ここは素晴らしいね」と言いました。ゆりはうなずきました。「私たちの夢の場所だよ。」二人は笑いながら花を摘みました。目が覚めると、幸せな気持ちでいっぱいでした。
29,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 夜、電話、来週、傾向

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ことなく
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある夜、鈴木さんは電話をかけました。来週、友達と会う予定ですが、何を話そうか考えていました。友達は最近、勉強に熱心で、その傾向が見えています。鈴木さんは、友達もリラックスしたいと思っているかもしれないと感じました。

「どうしようかな」と鈴木さんは思いました。すぐに電話がつながり、友達の声が聞こえました。「来週、どこかに行こうよ」と鈴木さんが言うと、友達は「いいね！何か楽しいことをしよう」と答えました。

鈴木さんは、友達との時間を大切にしたいと思いながら、次の計画を立てることにしました。どんなことをしても、友達と一緒なら楽しいです。心配することなく、楽しい一日を過ごせるといいなと思いました。"
29,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ200文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、たけしは公園で犬を見つけました。犬は小さくて、黒い毛がありました。たけしは犬に近づいて、「こんにちは」と言いました。犬はしっぽを振って、たけしに寄ってきました。たけしは犬を撫でました。犬はとても元気でした。

たけしは犬を連れて、公園を歩きました。二人は花を見たり、木の下で休んだりしました。犬は草の上で遊んで、たけしは笑いました。

夕方、たけしは犬を家に連れて帰りました。犬は今、たけしの大切な友達です。彼らは毎日、一緒に遊びます。幸せな日々が始まりました。"
30,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: なお, こうた
テーマ: 「冒険」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","なおとこうたは親友でした。ある日、二人は森に冒険に行くことにしました。帰り道に迷わないように、地図を持って出発しました。

森の中は静かでした。鳥の声と風の音だけが聞こえます。二人は笑いながら歩き続けました。でも、だんだん日が暮れてきました。「早く帰ろう！」こうたが言いました。なおは心配しました。「地図はどこ？」 

こうたはポケットを探しましたが、地図がありません。「あれ？どうしよう？」二人は不安になりました。その時、なおが小さな光を見つけました。「あれは何？」二人は光に向かって走りました。

光の先には、小さな湖がありました。湖の水はきれいでした。二人は湖のそばで休むことにしました。「これは冒険だね！」こうたが言います。「うん、楽しい！」なおも笑いました。

星が出てきて、二人は安心しました。やがて、地図を見つけて無事に帰ることができました。冒険は終わりましたが、楽しい思い出ができました。"
30,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""冒険""
Characters: なお, こうた

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",なおとこうたは、森で冒険を始めました。二人は地図を持って、古いお寺を探していました。道に迷った時、なおが「ここに赤い花がある！」と言いました。こうたは「花の近くに道があるかも！」と言いました。二人は花を見ながら進み、お寺を見つけました！
30,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 遊ぶ、電話、昨日、社会

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜てみる
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。",昨日、私は友達と公園で遊びました。青い空の下、みんなで笑いながら楽しい時間を過ごしました。遊びの後、友達が電話をかけて、他の仲間も誘うことにしました。「みんなでピクニックをしてみよう！」と言いました。友達は大喜びで、「いいね！それなら、社会のことを話しながら遊ぼう！」と提案しました。私たちはお弁当を持って、公園に戻りました。ピクニックをしながら、社会についての話をしました。新しいことを学びながら、楽しい時間が過ぎていきました。遊ぶことは私たちの大切な思い出です。
